Date,ROWL.JLR1_LEVEL.F_CV,ROWL.JLR2_LEVEL.F_CV,ROWL.LHHW_LM_LEVEL.F_CV,ROWL.LHHW_LY_LEVEL.F_CV,ROWL.LHHW_R9_LEVEL.F_CV,ROWL.NOGALESLS_LEVEL.F_CV,ROWL.RS01_LEVEL.F_CV,ROWL.RS02_LEVEL.F_CV,ROWL.RS03_LEVEL.F_CV,ROWL.RS04_LEVEL.F_CV,ROWL.RS05_LEVEL.F_CV,ROWL.RS06_LEVEL.F_CV,ROWL.RS07_LEVEL.F_CV,ROWL.RS08_LEVEL.F_CV,ROWL.RS10_LEVEL.F_CV,ROWL.RS11_LEVEL.F_CV,ROWL.RS12_LEVEL.F_CV,ROWL.RS13_LEVEL.F_CV,ROWL.RS14_LEVEL.F_CV,ROWL.RS15_LEVEL.F_CV,ROWL.RS16_LEVEL.F_CV,ROWL.RS2A_TANK_LEVEL.F_CV,ROWL.RS9_LEVEL.F_CV,ROWL.WELL1_LEVEL.F_CV,ROWL.WELL1WW_LEVEL.F_CV
5/15/22 0:00,24.32600021,24.40800095,0,0,0,4.602812767,18.13620377,20.37400055,3.947814226,15.29399967,18.11455345,15.04800034,15.73998642,17.05836487,13.8039999,23.06999969,26.01358032,13.94064236,13.29121876,13.77104855,20.29400063,24.61062622,-0.495999992,-6.25,6.269180298
5/15/22 0:05,24.29000092,24.37599945,0,0,0,4.599687576,18.16435051,20.3920002,3.947814226,15.29399967,18.14053345,15.11999989,15.72045517,17.03395081,13.79199982,23.06599998,26.0038147,13.94552517,13.25947952,13.75182247,20.29999924,24.58625031,-0.497999996,-6.25,6.27494812
5/15/22 0:10,24.26000023,24.34199905,0,0,0,4.593437672,18.18816566,20.40600014,3.950255632,15.28600025,18.16001892,15.19400024,15.70092297,17.01441956,13.78600025,23.05999947,25.99160767,13.94552517,13.23506546,13.73772335,20.31200027,24.43999863,-0.497999996,-6.25,6.277832508
5/15/22 0:15,24.22999954,24.30800056,0,0,0,4.581562519,18.20764923,20.41600037,3.947814226,15.28800011,18.19249535,15.25599957,15.68383312,16.99000549,13.77400017,23.05800056,25.98428345,13.94064236,13.21553326,13.72362423,20.33399963,24.30187416,-0.497999996,-6.25,6.277832508
5/15/22 0:20,24.19799995,24.27799988,0,0,0,4.588125229,18.23146439,20.43199921,3.950255632,15.29599953,18.20981598,15.33600044,15.66430187,16.97047424,13.76599979,23.05599976,25.97451782,13.94308376,13.20576763,13.71080685,20.33399963,24.19624901,-0.497999996,-6.25,6.269180298
5/15/22 0:25,24.17000008,24.25,0,0,0,4.602187634,18.2531147,20.44400024,3.947814226,15.30599976,18.23146439,15.40400028,15.65453529,16.9533844,13.75800037,23.05599976,25.96963501,13.94064236,13.18135357,13.6992712,20.34000015,24.05812454,-0.497999996,-6.25,6.269180298
5/15/22 0:30,24.13999939,24.2159996,0,0,0,4.605625153,18.28342438,20.45999908,3.94537282,15.31400013,18.25960922,15.49199963,15.64232826,16.92896843,13.74800014,23.04999924,25.95742798,13.94308376,13.16914654,13.6890173,20.36400032,23.92000008,-0.497999996,-6.25,6.272064209
5/15/22 0:35,24.11000061,24.18600082,0,0,0,4.608749866,18.30507469,20.47599983,3.94537282,15.32400036,18.28125954,15.57400036,15.62767982,16.90943718,13.74199963,23.04599953,25.94522095,13.93820095,13.14229012,13.6826086,20.36800003,23.82250023,-0.495999992,-6.25,6.277832508
5/15/22 0:40,24.07600021,24.15399933,0,0,0,4.605937481,18.33538437,20.49200058,3.94537282,15.32400036,18.30723953,15.6239996,15.61303139,16.88990593,13.73600006,23.04599953,25.9281292,13.93820095,13.13984871,13.67619991,20.38599968,23.68437386,-0.497999996,-6.25,6.27494812
5/15/22 0:45,24.04800034,24.12199974,0,0,0,4.601250172,18.35919952,20.50799942,3.94537282,15.32600021,18.33755112,15.71199989,15.60082436,16.8776989,13.72799969,23.04800034,25.91348076,13.93820095,13.1349659,13.66979122,20.38999939,23.5625,-0.495999992,-6.25,6.272064209
